Date,Close,Open,High,Low,Volume,Change %
1/7/2021,10569.00,10320.00,10880.00,10133.00,39720,2.40%
1/8/2021,10321.00,9583.00,10437.00,9359.90,45940,7.99%
1/9/2021,9557.40,9666.30,9840.00,9284.30,30520,-1.13%
1/10/2021,9666.30,10144.00,10499.00,9350.30,55700,-4.72%
1/11/2021,10145.00,9826.50,10395.00,9583.90,59070,3.20%
1/12/2021,9830.00,10453.20,10912.00,9740.00,71230,-5.98%
1/13/2021,10455.00,11216.00,11239.00,10200.00,76960,-6.80%
1/14/2021,11218.00,11172.00,11776.00,11101.00,60920,0.40%
1/15/2021,11173.00,10398.00,11250.00,10308.00,50740,7.72%
1/16/2021,10372.00,11062.00,11250.00,10122.00,69830,-6.17%
1/17/2021,11053.50,10161.00,11083.00,10050.00,52800,8.77%
1/18/2021,10162.00,9996.00,10270.00,9674.90,43890,1.65%
1/19/2021,9996.90,9454.30,10175.00,9338.80,67530,5.73%
1/20/2021,9455.40,8515.90,9488.00,8512.60,50360,11.03%
1/21/2021,8515.90,8902.90,8952.80,8339.70,39510,-4.32%
1/22/2021,8900.60,8070.00,9000.00,8070.00,51400,10.31%
1/23/2021,8069.00,8563.00,8569.00,7851.00,52210,-5.77%
1/24/2021,8563.10,8678.10,9074.30,8152.10,68150,-1.38%
1/25/2021,8683.20,8240.00,8748.00,7734.70,63030,5.44%
1/26/2021,8235.10,7585.00,8648.80,7579.60,77620,8.54%
1/27/2021,7587.00,7679.40,8488.20,7175.10,106700,-1.13%
1/28/2021,7673.80,6946.60,7860.00,6000.00,192760,10.42%
1/29/2021,6949.90,8185.20,8378.00,6658.80,131290,-15.25%
1/30/2021,8200.00,9225.10,9403.30,7840.00,74420,-11.06%
1/31/2021,9219.40,8887.10,9495.00,8189.60,51910,3.64%
2/1/2021,8895.80,9181.00,9201.00,7972.20,123340,-3.11%
2/2/2021,9181.10,10278.00,10311.00,8941.00,78780,-10.72%
2/3/2021,10284.00,10170.00,10411.00,9761.00,43230,1.07%
2/4/2021,10175.00,11215.00,11250.00,9864.90,61280,-9.25%
2/5/2021,11212.00,11836.00,11957.00,11074.00,25650,-5.30%
2/6/2021,11839.00,11455.10,12181.00,11398.00,29620,3.30%
2/7/2021,11461.00,11068.00,11683.00,10822.00,34400,3.53%
2/8/2021,11070.00,11144.00,11647.00,10298.00,56750,-0.68%
2/9/2021,11146.00,11402.00,11723.00,10857.00,34440,-2.35%
2/10/2021,11414.00,10811.00,11529.00,10454.00,43820,5.50%
2/11/2021,10819.00,10770.00,11383.00,9901.10,63850,0.45%
2/12/2021,10771.00,11519.00,11886.00,10009.00,66350,-6.45%
2/13/2021,11514.00,12732.00,12732.00,11020.00,53620,-9.54%
2/14/2021,12728.00,11462.00,13002.00,11425.00,46300,10.91%
2/15/2021,11476.00,11036.00,11879.00,10649.00,48550,3.90%
2/16/2021,11045.00,11101.00,11881.00,10515.00,85240,-0.33%
2/17/2021,11082.00,11059.00,11490.00,9231.10,132230,0.09%
2/18/2021,11072.00,13594.00,13604.00,9949.40,131860,-18.44%
2/19/2021,13575.00,13558.00,14350.00,13307.00,33460,0.13%
2/20/2021,13558.00,14190.00,14391.00,12874.30,35600,-4.46%
2/21/2021,14191.00,13794.00,14580.00,13760.00,29010,2.96%
2/22/2021,13783.00,13248.00,14095.00,12778.00,37420,3.90%
2/23/2021,13266.00,14895.00,14949.80,12639.00,71700,-10.94%
2/24/2021,14896.00,14426.00,14896.00,13338.00,57330,3.28%
